Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,Q4_26,Q4_27,Q4_28,Q4_29,Q4_30,Q5,Q5_5_TEXT,Q6,Q7,Q7_1_TEXT,Q7_2_TEXT,Q8
Yes,Yes,Rarely (2),Rarely (2),Never (1),Rarely (2),Occasionally (3),Never (1),Occasionally (3),Never (1),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Never (1),Rarely (2),Occasionally (3),Rarely (2),Never (1),Often (4),Rarely (2),Very Often (5),Sometimes (3),Rarely (2),Sometimes (3),Rarely (2),Never (1),Never (1),Rarely (2),Rarely (2),Often (4),Rarely (2),Never (1),Very Often (5),Rarely (2),Often (4),Often (4),Sometimes (3),Often (4),Sometimes (3),Often (4),Never (1),Often (4),Never (1),Sometimes (3),Often (4),Never (1),Often (4),Sometimes (3),Continue teaching,,,No (explain),,No.  Too close to retirement.  Student trama doesn't bother me as much.,Strong Christian faith and belief system that sustains me.  Strong marriage.  
Yes,Yes,Often (4),Never (1),Never (1),Never (1),Often (4),Never (1),Occasionally (3),Never (1),Often (4),Often (4),Rarely (2),Never (1),Never (1),Never (1),Often (4),Rarely (2),Never (1),Often (4),Often (4),Often (4),Sometimes (3),Never (1),Often (4),Sometimes (3),Never (1),Never (1),Often (4),Often (4),Often (4),Rarely (2),Never (1),Sometimes (3),Rarely (2),Sometimes (3),Sometimes (3),Very Often (5),Often (4),Often (4),Often (4),Never (1),Often (4),Never (1),Very Often (5),Often (4),Never (1),Often (4),Sometimes (3),Continue teaching,,,No (explain),,"One, I feel unable to leave the profession. I don't feel I could make a lateral move into another profession. But also, I am able to separate the trauma my students go through from my own life. I teach theatre, and I get many lids who take my classes who have very difficult personal situations. It makes me feel proud and effective to give them a place where they can let their guard down and feel safe, all while taking artistic risks. I know how desperately they need the space I provide.",
Yes,Yes,Never (1),Never (1),Never (1),Never (1),Rarely (2),Rarely (2),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Rarely (2),Rarely (2),Never (1),Never (1),Often (4),Rarely (2),Often (4),Sometimes (3),Never (1),Sometimes (3),Rarely (2),Never (1),Never (1),Rarely (2),Rarely (2),Often (4),Never (1),Never (1),Very Often (5),Never (1),Often (4),Sometimes (3),Sometimes (3),Sometimes (3),Sometimes (3),Sometimes (3),Never (1),Often (4),Never (1),Very Often (5),Often (4),Never (1),Sometimes (3),Often (4),Continue teaching,,,No (explain),,"If something bothers me, I try to fix it. If I can great, if not I know I did my best and that's all there is. I leave my work at work.","The trauma of others has no impact on my decision to teach, only the incompetence of the decision makers makes me question my job."
Yes,Yes,Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Rarely (2),Never (1),Never (1),Never (1),Never (1),Often (4),Often (4),Very Often (5),Often (4),Rarely (2),Often (4),Never (1),Never (1),Never (1),Rarely (2),Never (1),Often (4),Never (1),Never (1),Never (1),Often (4),Often (4),Very Often (5),Often (4),Very Often (5),Sometimes (3),Very Often (5),Never (1),Very Often (5),Never (1),Never (1),Very Often (5),Never (1),Very Often (5),Very Often (5),Continue teaching,,,No (explain),,I not leaving teaching. My experiences will help keep our students strong. I truly believe that strong teachers are those teachers who continue working through  good and bad times.,
Yes,Yes,Never (1),Never (1),Never (1),Never (1),Rarely (2),Never (1),Never (1),Never (1),Never (1),Never (1),Rarely (2),Never (1),Never (1),Rarely (2),Never (1),Never (1),Never (1),Often (4),Never (1),Very Often (5),Often (4),Rarely (2),Often (4),Sometimes (3),Never (1),Rarely (2),Never (1),Rarely (2),Very Often (5),Never (1),Never (1),Very Often (5),Often (4),Sometimes (3),Often (4),Rarely (2),Very Often (5),Rarely (2),Very Often (5),Never (1),Very Often (5),Never (1),Never (1),Often (4),Never (1),Often (4),Very Often (5),Continue teaching,,,No (explain),,"I am an empathetic person and when one of my students hurts, I hurt as well.  I want to help them, just as any decent human being would, but I want to help all my students.  That is one of the reasons I became a teacher.   Another thing to consider is that for every student experiencing trauma, there are twenty who are euphoric over something good in their lives.  I feel their joy as well, and it more than balances out. ","One of the worst weeks of my life was when one of my students committed suicide.  No only was I directly impacted, but I ached for every one of my students who were devastated by this tragedy.  While this event is horrible, I don't dwell on the loss.  I remember how so many of us came together to help each other in our grief.  (It hurt to write this section.) "
Yes,Yes,Rarely (2),Never (1),Occasionally (3),Very Often (5),Occasionally (3),Never (1),Occasionally (3),Rarely (2),Often (4),Very Often (5),Occasionally (3),Rarely (2),Very Often (5),Rarely (2),Rarely (2),Occasionally (3),Never (1),Often (4),Very Often (5),Very Often (5),Very Often (5),Rarely (2),Often (4),Very Often (5),Rarely (2),Very Often (5),Sometimes (3),Rarely (2),Often (4),Sometimes (3),Sometimes (3),Often (4),Rarely (2),Sometimes (3),Sometimes (3),Very Often (5),Very Often (5),Often (4),Very Often (5),Never (1),Very Often (5),Sometimes (3),Often (4),Often (4),Never (1),Very Often (5),Very Often (5),Continue teaching,,,No (explain),,"Even though their trauma affects me, I feel satisfied when I’m able to help them",
Yes,Yes,Often (4),Occasionally (3),Rarely (2),Occasionally (3),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Occasionally (3),Occasionally (3),Occasionally (3),Rarely (2),Never (1),Never (1),Rarely (2),Rarely (2),Rarely (2),Often (4),Sometimes (3),Often (4),Sometimes (3),Never (1),Sometimes (3),Very Often (5),Rarely (2),Never (1),Never (1),Never (1),Very Often (5),Sometimes (3),Rarely (2),Very Often (5),Sometimes (3),Sometimes (3),Often (4),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Never (1),Very Often (5),Never (1),Very Often (5),Often (4),Never (1),Very Often (5),Often (4),Retire,,,Yes (explain),"Although I’m planning on retiring in 3 yrs, the stress that certain students and parents create would not be something that I would want to do for a prolonged period of time.",,
Yes,Yes,Occasionally (3),Occasionally (3),Never (1),Occasionally (3),Occasionally (3),Rarely (2),Occasionally (3),Never (1),Occasionally (3),Often (4),Occasionally (3),Never (1),Never (1),Never (1),Occasionally (3),Never (1),Never (1),Rarely (2),Very Often (5),Often (4),Sometimes (3),Rarely (2),Rarely (2),Never (1),Never (1),Sometimes (3),Rarely (2),Often (4),Very Often (5),Sometimes (3),Never (1),Very Often (5),Sometimes (3),Never (1),Very Often (5),Very Often (5),Often (4),Very Often (5),Very Often (5),Never (1),Often (4),Rarely (2),Very Often (5),Rarely (2),Never (1),Very Often (5),Very Often (5),Continue teaching,,,No (explain),,"Although it takes a tole and makes you question whether you can handle the stress personally dealing with certain situations in a classroom, it would not change my mind in my profession. It gives me even more reason to find ways to manage the stress so that I can be there for the ones that truly need me. ",
Yes,Yes,Never (1),Never (1),Never (1),Occasionally (3),Often (4),Occasionally (3),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Rarely (2),Occasionally (3),Never (1),Very Often (5),Rarely (2),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Never (1),Never (1),Never (1),Never (1),Never (1),Very Often (5),Never (1),Never (1),Very Often (5),Very Often (5),Sometimes (3),Often (4),Very Often (5),Very Often (5),Rarely (2),Very Often (5),Rarely (2),Very Often (5),Never (1),Sometimes (3),Very Often (5),Never (1),Very Often (5),Often (4),Continue teaching,,,No (explain),,"No, I do let trauma experienced by my students impact my professional decisions.",
Yes,Yes,Occasionally (3),Occasionally (3),Never (1),Often (4),Occasionally (3),Rarely (2),Often (4),Rarely (2),Often (4),Often (4),Often (4),Never (1),Never (1),Rarely (2),Occasionally (3),Rarely (2),Occasionally (3),Sometimes (3),Very Often (5),Very Often (5),Sometimes (3),Sometimes (3),Often (4),Often (4),Rarely (2),Rarely (2),Never (1),Rarely (2),Often (4),Never (1),Never (1),Sometimes (3),Sometimes (3),Sometimes (3),Often (4),Often (4),Often (4),Very Often (5),Sometimes (3),Rarely (2),Sometimes (3),Never (1),Often (4),Sometimes (3),Rarely (2),Often (4),Often (4),Continue teaching,,,No (explain),,I have not experienced trauma from a student great enough to make me feel like leaving the profession.,N/A
Yes,Yes,Occasionally (3),Occasionally (3),Rarely (2),Often (4),Occasionally (3),Often (4),Occasionally (3),Occasionally (3),Often (4),Often (4),Rarely (2),Never (1),Rarely (2),Occasionally (3),Rarely (2),Occasionally (3),Never (1),Often (4),Often (4),Very Often (5),Often (4),Often (4),Sometimes (3),Sometimes (3),Never (1),Sometimes (3),Never (1),Sometimes (3),Very Often (5),Rarely (2),Never (1),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Often (4),Often (4),Very Often (5),Very Often (5),Never (1),Very Often (5),Never (1),Very Often (5),Sometimes (3),Often (4),Often (4),Very Often (5),Continue teaching,,,No (explain),,I am dedicated to my students,
Yes,Yes,Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Often (4),Often (4),Sometimes (3),Often (4),Sometimes (3),Rarely (2),Very Often (5),Never (1),Never (1),Sometimes (3),Sometimes (3),Often (4),Never (1),Never (1),Often (4),Very Often (5),Sometimes (3),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Never (1),Sometimes (3),Never (1),Very Often (5),Often (4),Never (1),Often (4),Sometimes (3),Leave the teaching profession,,To focus more on my family and myself.  Teaching is t a job you can just leave at work.  You constantly have to think about it and it takes up your whole life if you let it.  ,No (explain),,"No, I’ve never worked with students with trauma",None
Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Never (1),Rarely (2),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Very Often (5),Never (1),Never (1),Never (1),Never (1),Occasionally (3),Rarely (2),Never (1),Very Often (5),Sometimes (3),Very Often (5),Very Often (5),Sometimes (3),Often (4),Sometimes (3),Rarely (2),Rarely (2),Never (1),Rarely (2),Very Often (5),Never (1),Never (1),Very Often (5),Often (4),Often (4),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Never (1),Very Often (5),Never (1),Sometimes (3),Often (4),Very Often (5),Very Often (5),Very Often (5),Continue teaching,,,Yes (explain),"I love the whole of teaching. At this time, one specific element isn’t going to deter that.",,
Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Often (4),Often (4),Very Often (5),Often (4),Very Often (5),Occasionally (3),Often (4),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Occasionally (3),Very Often (5),Occasionally (3),Often (4),Often (4),Sometimes (3),Often (4),Often (4),Rarely (2),Often (4),Sometimes (3),Rarely (2),Often (4),Very Often (5),Very Often (5),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Sometimes (3),Rarely (2),Never (1),Rarely (2),Very Often (5),Rarely (2),Very Often (5),Often (4),Often (4),Sometimes (3),Sometimes (3),Very Often (5),Rarely (2),Rarely (2),Very Often (5),Sometimes (3),Other (explain),I have no clue,,Yes (explain),Because I TJs the brunt of the anger and blame for their behaviors... the mobility is horrible and scary. ,,"More oversight with abusive and violent kids... and their parents. I have been beaten, kicked, spit at, cussed at, you name it- and have even had parents blame me for it. I can’t teach other kids when I am focused on one and trying to keep others safe. The. The ridiculous amount of documentation they want - WHO HAS TIME. It’s just too much. "
Yes,Yes,Rarely (2),Occasionally (3),Occasionally (3),Never (1),Often (4),Occasionally (3),Occasionally (3),Rarely (2),Occasionally (3),Often (4),Occasionally (3),Rarely (2),Never (1),Occasionally (3),Often (4),Never (1),Never (1),Often (4),Rarely (2),Sometimes (3),Often (4),Never (1),Sometimes (3),Rarely (2),Never (1),Never (1),Never (1),Sometimes (3),Sometimes (3),Sometimes (3),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Sometimes (3),Often (4),Often (4),Often (4),Rarely (2),Often (4),Rarely (2),Often (4),Often (4),Often (4),Very Often (5),Often (4),Retire,,,No (explain),,I’m nearing retirement age.,None
Yes,Yes,Occasionally (3),Rarely (2),Rarely (2),Occasionally (3),Often (4),Never (1),Occasionally (3),Often (4),Often (4),Often (4),Often (4),Rarely (2),Rarely (2),Occasionally (3),Often (4),Rarely (2),Rarely (2),Sometimes (3),Often (4),Very Often (5),Often (4),Sometimes (3),Sometimes (3),Never (1),Rarely (2),Rarely (2),Never (1),Never (1),Very Often (5),Rarely (2),Rarely (2),Often (4),Often (4),Rarely (2),Very Often (5),Sometimes (3),Sometimes (3),Often (4),Often (4),Rarely (2),Very Often (5),Never (1),Very Often (5),Often (4),Never (1),Sometimes (3),Very Often (5),Retire,,,No (explain),,It is time for the next generation to take the lead,Student depression and negativity towards their education has affected the classroom as a whole - making it difficult to effectively teach - as they fail to learn the basics needed to go n to the next level
Yes,Yes,Often (4),Occasionally (3),Occasionally (3),Often (4),Often (4),Occasionally (3),Occasionally (3),Occasionally (3),Often (4),Often (4),Often (4),Occasionally (3),Never (1),Often (4),Often (4),Occasionally (3),Occasionally (3),Sometimes (3),Often (4),Often (4),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Rarely (2),Sometimes (3),Very Often (5),Very Often (5),Sometimes (3),Sometimes (3),Rarely (2),Sometimes (3),Rarely (2),Rarely (2),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Rarely (2),Sometimes (3),Sometimes (3),Very Often (5),Sometimes (3),Sometimes (3),Very Often (5),Sometimes (3),Continue teaching,,,Yes (explain),I want to help them ,,
Yes,Yes,Occasionally (3),Very Often (5),Often (4),Often (4),Often (4),Very Often (5),Very Often (5),Occasionally (3),Often (4),Very Often (5),Very Often (5),Very Often (5),Often (4),Often (4),Very Often (5),Often (4),Often (4),Often (4),Very Often (5),Sometimes (3),Often (4),Often (4),Rarely (2),Very Often (5),Sometimes (3),Very Often (5),Very Often (5),Very Often (5),Often (4),Sometimes (3),Often (4),Sometimes (3),Sometimes (3),Rarely (2),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Often (4),Sometimes (3),Very Often (5),Sometimes (3),Sometimes (3),Very Often (5),Sometimes (3),Continue teaching,,,,,,
Yes,Yes,Never (1),Rarely (2),Never (1),Occasionally (3),Rarely (2),Rarely (2),Never (1),Never (1),Never (1),Rarely (2),Rarely (2),Never (1),Never (1),Never (1),Rarely (2),Never (1),Never (1),Very Often (5),Sometimes (3),Very Often (5),Often (4),Never (1),Often (4),Never (1),Never (1),Never (1),Rarely (2),Rarely (2),Often (4),Never (1),Never (1),Often (4),Often (4),Often (4),Often (4),Sometimes (3),Often (4),Sometimes (3),Often (4),Never (1),Very Often (5),Never (1),Sometimes (3),Sometimes (3),Never (1),Often (4),Very Often (5),Continue teaching,,,No (explain),,N/A,N/A
Yes,Yes,Often (4),Occasionally (3),Occasionally (3),Often (4),Occasionally (3),Occasionally (3),Often (4),Occasionally (3),Often (4),Very Often (5),Very Often (5),Occasionally (3),Never (1),Rarely (2),Occasionally (3),Occasionally (3),Very Often (5),Often (4),Often (4),Very Often (5),Sometimes (3),Very Often (5),Often (4),Rarely (2),Sometimes (3),Often (4),Often (4),Often (4),Often (4),Sometimes (3),Sometimes (3),Often (4),Never (1),Sometimes (3),Rarely (2),Very Often (5),Very Often (5),Often (4),Very Often (5),Sometimes (3),Often (4),Rarely (2),Very Often (5),Sometimes (3),Sometimes (3),Very Often (5),Sometimes (3),Retire,,,No (explain),,"The reason that I will probably retire early is not because of the students. It is because of all of the demands put on teachers, not receiving raises, and not being recognized for all of the hard work that we put in. I would say one of the MAIN reasons to leave early is because we teach to a test now. Everything is about test...test....test!! I can't relax and teach like I could even 10 years ago. It makes me really sad for the children and for us teachers.  ",Working with the students is not the reason that I plan to retire early. 
Yes,Yes,Occasionally (3),Rarely (2),Rarely (2),Often (4),Rarely (2),Never (1),Never (1),Never (1),Very Often (5),Occasionally (3),Rarely (2),Never (1),Rarely (2),Never (1),Never (1),Never (1),Never (1),Often (4),Rarely (2),Very Often (5),Often (4),Never (1),Often (4),Never (1),Never (1),Rarely (2),Never (1),Never (1),Very Often (5),Never (1),Rarely (2),Very Often (5),Very Often (5),Often (4),Very Often (5),Very Often (5),Very Often (5),Rarely (2),Very Often (5),Never (1),Very Often (5),Never (1),Rarely (2),Often (4),Never (1),Very Often (5),Very Often (5),Continue teaching,,,Yes (explain),"I chose my position to help students who have been through trauma because those students need love, compassion, and understanding to learn how to overcome and succeed in their life.",,I work in an ESE behavior classroom
Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Occasionally (3),Often (4),Never (1),Occasionally (3),Very Often (5),Occasionally (3),Occasionally (3),Never (1),Occasionally (3),Very Often (5),Occasionally (3),Often (4),Rarely (2),Often (4),Occasionally (3),Occasionally (3),Never (1),Often (4),Often (4),Often (4),Sometimes (3),Rarely (2),Sometimes (3),Very Often (5),Never (1),Rarely (2),Often (4),Often (4),Sometimes (3),Rarely (2),Never (1),Often (4),Often (4),Sometimes (3),Sometimes (3),Very Often (5),Often (4),Very Often (5),Sometimes (3),Never (1),Often (4),Often (4),Very Often (5),Sometimes (3),Never (1),Often (4),Sometimes (3),Continue teaching,,,No (explain),,I've learned to detach well.,N/A
Yes,Yes,Rarely (2),Never (1),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Occasionally (3),Rarely (2),Rarely (2),Rarely (2),Never (1),Rarely (2),Rarely (2),Occasionally (3),Very Often (5),Sometimes (3),Very Often (5),Very Often (5),Rarely (2),Very Often (5),Rarely (2),Rarely (2),Rarely (2),Never (1),Rarely (2),Very Often (5),Rarely (2),Rarely (2),Very Often (5),Sometimes (3),Often (4),Very Often (5),Rarely (2),Very Often (5),Never (1),Very Often (5),Never (1),Very Often (5),Never (1),Never (1),Very Often (5),Very Often (5),Very Often (5),Very Often (5),Continue teaching,,,,,,
Yes,Yes,Rarely (2),Never (1),Rarely (2),Never (1),Occasionally (3),Never (1),Occasionally (3),Never (1),Never (1),Occasionally (3),Never (1),Never (1),Never (1),Occasionally (3),Rarely (2),Never (1),Never (1),Often (4),Sometimes (3),Very Often (5),Often (4),Never (1),Often (4),Rarely (2),Never (1),Never (1),Rarely (2),Rarely (2),Often (4),Sometimes (3),Never (1),Very Often (5),Often (4),Often (4),Often (4),Sometimes (3),Sometimes (3),Sometimes (3),Sometimes (3),Never (1),Often (4),Never (1),Often (4),Sometimes (3),Never (1),Sometimes (3),Sometimes (3),Leave the teaching profession,,"It takes a huge emotional and mental toll with not enough pay.  The ""feel good service"" vibes aren't enough to keep me gong when the education system is so broken that I don't feel it can be fixed in my life time.",Yes (explain),Yes because they are part of the reason I am able to see the cracks and issues with the way education system works.  It is clear when there are students with traumas and struggles because they are the ones who get left out.,,"I don't think it affects my home life a whole lot because I have been able to compartementalize things, but when I look at the big picture of my future, I can't see myself staying very long in teaching.  Too many things frustrate me and it's impossible to help every kid so it becomes overwhelming really quickly."
Yes,Yes,Occasionally (3),Rarely (2),Rarely (2),Often (4),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Often (4),Often (4),Often (4),Rarely (2),Often (4),Rarely (2),Occasionally (3),Rarely (2),Often (4),Often (4),Sometimes (3),Often (4),Sometimes (3),Rarely (2),Often (4),Often (4),Often (4),Sometimes (3),Never (1),Sometimes (3),Often (4),Sometimes (3),Rarely (2),Often (4),Sometimes (3),Sometimes (3),Sometimes (3),Often (4),Often (4),Often (4),Sometimes (3),Rarely (2),Sometimes (3),Sometimes (3),Sometimes (3),Rarely (2),Rarely (2),Often (4),Sometimes (3),Continue teaching,,,,,,
Yes,Yes,Often (4),Occasionally (3),Occasionally (3),Very Often (5),Often (4),Rarely (2),Occasionally (3),Very Often (5),Never (1),Very Often (5),Often (4),Very Often (5),Very Often (5),Occasionally (3),Rarely (2),Often (4),Never (1),Sometimes (3),Sometimes (3),Sometimes (3),Rarely (2),Never (1),Rarely (2),Very Often (5),Rarely (2),Rarely (2),Very Often (5),Often (4),Rarely (2),Rarely (2),Never (1),Rarely (2),Rarely (2),Often (4),Sometimes (3),Very Often (5),Sometimes (3),Very Often (5),Sometimes (3),Never (1),Rarely (2),Never (1),Very Often (5),Rarely (2),Never (1),Very Often (5),Sometimes (3),Continue teaching,,,,,,
Yes,Yes,Never (1),Rarely (2),Never (1),Never (1),Never (1),Rarely (2),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Never (1),Rarely (2),Rarely (2),Never (1),Often (4),Sometimes (3),Often (4),Often (4),Rarely (2),Often (4),Rarely (2),Never (1),Never (1),Never (1),Never (1),Very Often (5),Never (1),Rarely (2),Very Often (5),Very Often (5),Often (4),Often (4),Rarely (2),Very Often (5),Often (4),Very Often (5),Never (1),Very Often (5),Never (1),Sometimes (3),Often (4),Never (1),Very Often (5),Very Often (5),Continue teaching,,,No (explain),,I believe that it is part of the job to support children even during difficulties,
Yes,Yes,Never (1),Rarely (2),Never (1),Occasionally (3),Never (1),Rarely (2),Never (1),Never (1),Occasionally (3),Rarely (2),Rarely (2),Occasionally (3),Rarely (2),Rarely (2),Rarely (2),Never (1),Never (1),Often (4),Very Often (5),Very Often (5),Often (4),Rarely (2),Often (4),Sometimes (3),Rarely (2),Never (1),Never (1),Rarely (2),Very Often (5),Rarely (2),Never (1),Very Often (5),Sometimes (3),Rarely (2),Often (4),Very Often (5),Often (4),Very Often (5),Very Often (5),Very Often (5),Often (4),Rarely (2),Very Often (5),Sometimes (3),Never (1),Often (4),Very Often (5),Continue teaching,,,No (explain),,"No, I stay in teaching for ALL of my students.  The ones who suffer the most linger with me longer, but I am here for all. ","I have intrinsic reasons why I stay.  The parts of education that exhaust me the most are beyond my control:  demands and tasks set by the district and state department of education.  The students keep me motivated.  My district does not have planning time set aside during the day, so I am always feeling behind.  I just want to feel caught up, and I would love for the district to include teachers more in the decisions that impact my job.  I think the district forgets ""self-care"" is critical for a teacher's mental and physical well being. "
Yes,Yes,Very Often (5),Very Often (5),Often (4),Often (4),Often (4),Often (4),Rarely (2),Occasionally (3),Occasionally (3),Very Often (5),Very Often (5),Very Often (5),Occasionally (3),Very Often (5),Very Often (5),Very Often (5),Occasionally (3),Rarely (2),Sometimes (3),Sometimes (3),Sometimes (3),Never (1),Rarely (2),Very Often (5),Sometimes (3),Sometimes (3),Very Often (5),Very Often (5),Never (1),Sometimes (3),Sometimes (3),Sometimes (3),Never (1),Never (1),Never (1),Very Often (5),Never (1),Very Often (5),Rarely (2),Never (1),Sometimes (3),Never (1),Very Often (5),Often (4),Sometimes (3),Very Often (5),Never (1),Leave the teaching profession,,The demands on my time increase each year.  Most are unnecessary.  I am bogged down by a poor administration asking an for an unfair amount of work from me.  Teaching has always been difficult.  This year is much more difficult.  I went from teaching one class to teaching four classes with no more prep time or money.  ,No (explain),,"I feel for my students who are hurting, but I think that I could help if I had the time and resources.  ",
Yes,Yes,Occasionally (3),Often (4),Rarely (2),Occasionally (3),Occasionally (3),Rarely (2),Rarely (2),Occasionally (3),Often (4),Very Often (5),Occasionally (3),Occasionally (3),Never (1),Often (4),Often (4),Occasionally (3),Rarely (2),Often (4),Very Often (5),Often (4),Rarely (2),Often (4),Never (1),Sometimes (3),Rarely (2),Sometimes (3),Often (4),Often (4),Sometimes (3),Sometimes (3),Rarely (2),Very Often (5),Sometimes (3),Rarely (2),Rarely (2),Very Often (5),Often (4),Very Often (5),Often (4),Rarely (2),Sometimes (3),Never (1),Very Often (5),Rarely (2),Sometimes (3),Very Often (5),Sometimes (3),Leave the teaching profession,,Burn out,Yes (explain),Yes. Student come with so much negative “baggage” that has to be handled before u can teach. And the trauma or drama of their lives doesn’t stop so u aren’t just healing what happened in the past you are dealing with it ina daily basis,,Teachers are not shown respect and the pandemic is a perfect example. Experts didn’t know much about how the virus spreads but they wanted teachers back teaching kids in spite of the situation. They told parents they had to commit to brick and mortar or class yet we have more students coming back everyday because “changed their mind.”
Yes,Yes,Rarely (2),Never (1),Rarely (2),Never (1),Rarely (2),Occasionally (3),Never (1),Never (1),Rarely (2),Occasionally (3),Never (1),Never (1),Rarely (2),Never (1),Occasionally (3),Rarely (2),Never (1),Very Often (5),Often (4),Very Often (5),Very Often (5),Often (4),Often (4),Sometimes (3),Rarely (2),Rarely (2),Never (1),Never (1),Very Often (5),Sometimes (3),Never (1),Very Often (5),Often (4),Often (4),Very Often (5),Often (4),Very Often (5),Often (4),Very Often (5),Never (1),Very Often (5),Never (1),Often (4),Often (4),Never (1),Very Often (5),Often (4),Continue teaching,,,Yes (explain),I hope I can help these students and be a caring positive influence,,
Yes,Yes,Never (1),Never (1),Never (1),Rarely (2),Occasionally (3),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Occasionally (3),Occasionally (3),Never (1),Never (1),Rarely (2),Occasionally (3),Occasionally (3),Rarely (2),Sometimes (3),Very Often (5),Often (4),Often (4),Rarely (2),Sometimes (3),Often (4),Rarely (2),Rarely (2),Rarely (2),Rarely (2),Often (4),Rarely (2),Never (1),Very Often (5),Sometimes (3),Sometimes (3),Sometimes (3),Sometimes (3),Sometimes (3),Often (4),Often (4),Never (1),Often (4),Rarely (2),Sometimes (3),Often (4),Rarely (2),Often (4),Often (4),Continue teaching,,,Yes (explain),"Yes, it gives me more experience with the next class.  ",,"If the things that are happening in the world today happened when I first started teaching 16 years ago, I would most likely not stay in the teaching profession.  Covid-19, suicide rates, race, gender, poverty, homelessness, death of parents, siblings, family members, health problems, neglect, behavior issues with students, lack of parental support; all of these things seem to be growing every year which adds to our stress.  The amount of legal responsibility we have towards our students is sometimes overwhelming and the amount of ""extra"" data, bookkeeping type tasks we have to do is overwhelming to teachers, even more to me than a students' personal trauma."
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
